title,story_points,state,type,priority,board_id,sprint_id,issue_id
ketentest actiepunt capacity hoedanigheid moet niet getoond worden indien niet beschikbaar,1.0,closed,Verbetering,Normal,1,1,117407
ketentest actiepunt product tekst omschrijving tonen als die niet bestaat dan het blok niet tonen,2.0,closed,Verbetering,Normal,1,1,117403
als een categorie geen producten heeft moet deze niet getoond worden,8.0,closed,Verbetering,Normal,1,1,111814
spike hoe moeten omgaan met organisaties ontvangers die op inactief worden gezet en de cycli waarin ze zitten,1.0,closed,Taak,Normal,1,1,117637
als besteller wil ik de totaalprijs weten van mijn bestelling zodat ik weet hoeveel ik totaal kwijt ben voordat ik de bestelling plaats stap 2,5.0,closed,Story,Normal,1,1,117610
als gebruiker wil ik de afleverhoeveelheden kunnen zien zodat ik weet hoe mijn bestelling berekend,5.0,closed,Story,Normal,1,1,117607
als gebruiker wil ik het aantal losse componenten invullen zodat ik aantallen kan opgeven,8.0,closed,Story,Normal,1,1,117601
als medewerker wil ik dat producten logischerwijs zijn gesorteerd zodat gebruikers een logische productenlijst zien,2.0,closed,Story,Normal,1,1,117598
als medewerker wil ik dat categorieen logischerwijs zijn gesorteerd zodat gebruikers een logische categorie volgorde zien,2.0,closed,Story,Normal,1,1,117597
als gebruiker wil ik recepten kunnen zoeken zodat ik gemakkelijk recepten kan vinden,5.0,closed,Story,Normal,1,1,117593
als gebruiker wil ik receptenlijst kunnen zien zodat ik inspiratie heb voor mijn bestellingen,5.0,closed,Story,Normal,1,1,117592
als gebruiker wil ik receptdetails kunnen zien zodat ik inspiratie heb voor mijn bestelling,8.0,closed,Story,Normal,1,1,117591
als besteller wil ik een overzicht van de losse maaltijdcomponenten niet dieetmaaltijden zodat ik aantallen kan voeren,5.0,closed,Story,Normal,1,1,117589
als developer wil ik verpakkingsberekening van dieetmaaltijden opslaan de de database zodat ik die later kan raadplegen,8.0,closed,Story,Normal,1,1,117587
als medewerker wil ik menus valideren een cyclus op dubbele componenten zodat er geen fouten optreden bij de levering,5.0,closed,Story,Normal,1,1,117586
als developer wil ik dat orderorderline wijzigingen aan de zbmx kant bij ons doorkomen zodat wij en de gebruiker altijd date zijn van order statussen,8.0,closed,Story,Normal,1,1,117585
alle queries filteren op soft deletes en inactive states,1.0,closed,Taak,Normal,1,1,117582
als gebruiker wil ik het aantal vaste dieetmaaltijden invullen zodat ik aantallen kan opgeven,5.0,closed,Story,Normal,1,1,117581
als medewerker wil ik een dieet kunnen verwijderen zodat de data integer blijft,5.0,closed,Story,Normal,1,1,117580
